web-scraper-order,web-scraper-start-url,title,body
1650413961-981,https://www.inshorts.com/en/read,Lifetime chance for youngsters: Anand on 100-day countdown to Chess Olympiad,"Marking the 100-day countdown for 44th Chess Olympiad, to be held in Chennai, on Monday, five-time world chess champion Viswanathan Anand said the tournament is a life-time opportunity for youngsters to catch a glimpse of their idols. ""Watch them play and possibly interact with them,"" he added. The Olympiad will be held from July 28 to August 10."
1650413961-863,https://www.inshorts.com/en/read,"We shot with 100+ dogs, it was really challenging: Arun Vijay on 'Oh My Dog'","While talking about 'Oh My Dog', actor Arun Vijay said it was ""really challenging"" to work with so many dogs at same time. ""I think we shot with nearly 100+ dogs...Having said that...they seemed to have way more fun than...entire cast and crew...Hats off to Raja, the trainer...and our director Sarov to ensure that everything went on smoothly,"" he added."
1650413961-772,https://www.inshorts.com/en/read,Bihar govt makes arrangements to quickly ferry kids with AES for treatment,"Bihar government has made arrangements of linking an auto-rickshaw with every panchayat to quickly ferry children suffering from acute encephalitis syndrome (AES) to the nearest health facility, officials said on Monday. The arrangements have been made across 12 districts. According to Additional Director (Health), an ambulance has also been attached to every PHC to transport patients."
1650413961-978,https://www.inshorts.com/en/read,Barrage of Western sanctions against Russia failed: Prez Putin,"Russian President Vladimir Putin on Monday claimed that the barrage of Western sanctions against Russia has failed. The West ""expected to quickly upset the financial-economic situation, provoke panic in the markets, the collapse of the banking system and shortages in stores"", he said. He also claimed that the sanctions have backfired on the West with a sharp rise in inflation."
1650413961-1022,https://www.inshorts.com/en/read,It was a minor incident: Police on fresh stone-pelting in Jahangirpuri,"The fresh stone-pelting in Delhi's Jahangirpuri, where a communal violence broke out on Saturday, was a minor and one-off incident, police said on Monday. ""Legal action is being taken. One person has been detained,"" it added. Police had earlier said that family members of an accused pelted two stones at a team when they went to question them."
1650413961-496,https://www.inshorts.com/en/read,Assam authorities alert districts to be prepared to tackle floods,"The government of Assam has started the preparations to deal with the flood situation and alerted all the districts to be ready as well. ""We have identified locations based on the last 10 years' flood data [and]...identified 11 circles that are spread over five districts that receive floods almost every year,"" CEO of Assam State Disaster Management Authority said."
1650413961-509,https://www.inshorts.com/en/read,"Heatwave pushes Delhi's power demand to 5,735 MW, highest ever in April","The peak power demand in Delhi on Tuesday rose to 5,735 MW, which is the highest ever in the month of April, after unabated heatwave in the city, discom officials said. Delhi's peak power demand had touched 4,469 MW on April 1. The national capital's previous high power demand was recorded at 5,664 MW on April 30, 2019, officials added."
1650413961-765,https://www.inshorts.com/en/read,"Ashwin said 'I was too busy in shoots', then bowled 3 hours in nets: Kaif","Ex-India cricketer Mohammad Kaif has praised RR spinner Ravichandran Ashwin, stating that the 35-year-old is a ""genuine wicket-taker, who keeps adding new things"". ""Ashwin was with me at DC...and I remember...[a] game at the Wankhede [where] he leaked many runs...He felt he was too busy in shoots...[and then] bowled for almost three hours in the nets,"" recalled Kaif."
1650413961-569,https://www.inshorts.com/en/read,Expecting method acting in commercial films is dumb: Nawazuddin,"Actor Nawazuddin Siddiqui in an interview has stated if you expect to use method acting in commercial films, then you are dumb. He further said that such films are for fun and the audience comes to enjoy. ""If you...dissect my performances, maybe you'll find a lot of flaws. But if you take it as pure fun, one would...enjoy,"" Nawazuddin added."
1650413961-1121,https://www.inshorts.com/en/read,"Byculla Zoo sees 50,000 visitors over long weekend, collects ₹24 lakh","Nearly 50,000 people visited the Byculla Zoo in Mumbai over the long weekend and it earned a revenue of over ₹24 lakh, officials said. Around 20,478 people came to the zoo on Sunday alone. The zoo, which is open from 9.30 am to 5 pm on all days, charges an entry fee of ₹50 per person."
1650413961-574,https://www.inshorts.com/en/read,Finland's President Sauli Niinistö tests positive for COVID-19,"Finland's President Sauli Niinistö has tested positive for COVID-19, his office said in a statement on Tuesday. ""Despite the infection, President Niinistö is well and continuing to work remotely,"" it added. Niinistö's official visit to Norway to discuss the conflict in Ukraine and European security from April 21 to 22 has been postponed."
1650413961-1338,https://www.inshorts.com/en/read,"FPIs turn net sellers again, withdraw ₹4,500 cr between Apr 8-15","Foreign portfolio investors (FPIs) turned net sellers again after withdrawing ₹4,500 crore between April 8-15. FPIs had been net sellers for six months between October 2021 and March 2022 and had turned net buyers between April 1-8 with an investment of ₹7,707 crore. Apart from equities, FPIs withdrew net ₹415 crore from the debt markets last week."
1650413961-1321,https://www.inshorts.com/en/read,Govt amends FEMA rules to allow up to 20% FDI in IPO-bound LIC,"The government has amended the Foreign Exchange Management Act (FEMA) to allow up to 20% foreign direct investment (FDI) in state-run LIC through the automatic route. ""Foreign investment in LIC shall be subject to the provisions of...Life Insurance Corporation Act, 1956,"" a gazette notification said. The development comes ahead of LIC's IPO, expected to be India's biggest-ever public issue."
1650413961-1274,https://www.inshorts.com/en/read,"When I first saw Umran bowl, he reminded me of Waqar: Irfan Pathan","Recalling when he first saw Umran Malik bowl, ex-India all-rounder Irfan Pathan has said that the 22-year-old reminded him of former Pakistan pacer Waqar Younis. Umran was noticed by Irfan when they were part of the Jammu and Kashmir team. Irfan was a player and mentor in the team. Later, Umran made his IPL debut in 2021 for SunRisers Hyderabad."
